TIMESTAMP_ISO,External_Temp,Conductivity_us,SpConductivity_us,Salinity,Chlorophyll_ugL,Chlorophyll_RFU,BGA_PE_RFU,BGA_PE_ugL,Lat,Long,ODO_Sat,Depth
2025-04-27T13:00:00,5.743994,30477.63,48208.06,30.87313,1.069692,0.2674229,0.5322124,1.490195,-68,44,4,1
2025-04-27T14:00:00,5.789639,30467.81,48126.16,30.82042,1.005505,0.2513763,0.6416839,1.796715,-68,44,4,1
2025-04-27T15:00:00,5.797743,30470.89,48119.27,30.81645,1.970474,0.4926184,0.9874326,2.764811,-68,44,4,1
2025-04-27T16:00:00,5.912227,30443.18,47910.06,30.68135,3.070072,0.767518,1.056835,2.959139,-68,44,4,1
2025-04-27T17:00:00,5.830235,30436.38,48017.71,30.74828,2.620315,0.6550788,1.04107,2.914996,-68,44,4,1
2025-04-27T18:00:00,5.825579,30473.75,48083.4,30.79425,2.745009,0.6862523,1.757229,4.920242,-68,44,4,1
2025-04-27T19:00:00,5.734908,30456.29,48187.54,30.85756,2.038524,0.509631,1.947495,5.452986,-68,44,4,1
2025-04-27T20:00:00,5.679392,30459.63,48273.8,30.91216,4.637381,1.159345,1.929522,5.40266,-68,44,4,1
2025-04-27T21:00:00,5.700387,30436.56,48206.61,30.86705,2.712118,0.6780294,1.757111,4.919911,-68,44,4,1
2025-04-27T22:00:00,5.717777,30433.3,48176.09,30.84747,2.73336,0.68334,1.045105,2.926294,-68,44,4,1
2025-04-27T23:00:00,5.601717,30407.19,48304.27,30.92462,3.599738,0.8999344,2.389001,6.689202,-68,44,4,1
2025-04-28T00:00:00,5.536736,30390.31,48372.83,30.96541,2.34096,0.58524,1.880611,5.265711,-68,44,4,1
2025-04-28T01:00:00,5.467491,30348.32,48407.89,30.98194,2.399534,0.5998835,1.356517,3.798247,-68,44,4,1
2025-04-28T02:00:00,5.535229,30348.68,48308.77,30.91992,2.690066,0.6725165,1.076042,3.012917,-68,44,4,1
2025-04-28T03:00:00,5.527769,30343.83,48312.02,30.92134,2.605357,0.6513393,1.296995,3.631586,-68,44,4,1
2025-04-28T04:00:00,5.580453,30327.38,48208.59,30.85442,1.626381,0.4065953,0.7483101,2.095268,-68,44,4,1
2025-04-28T05:00:00,5.58546,30278.87,48124.16,30.7953,2.50055,0.6251374,1.647465,4.612903,-68,44,4,1
2025-04-28T06:00:00,5.548945,30304.34,48218.09,30.85741,2.135683,0.5339206,0.7815849,2.188437,-68,44,4,1
2025-04-28T07:00:00,5.525021,30328.51,48291.66,30.90659,1.341856,0.3354641,0.3620796,1.013823,-68,44,4,1
2025-04-28T08:00:00,5.503206,30341.16,48343.87,30.94093,0.8808686,0.2202172,-0.0905274,-0.2534767,-68,44,4,1
2025-04-28T09:00:00,5.603613,30389.96,48274.12,30.90349,0.4590036,0.1147509,-0.3302436,-0.9246822,-68,44,4,1
2025-04-28T10:00:00,5.573071,30380.96,48304.58,30.92143,0.6049078,0.1512269,0.06946436,0.1945002,-68,44,4,1
2025-04-28T11:00:00,5.717506,30516.82,48308.7,30.9413,0.5041668,0.1260417,-0.1081453,-0.3028069,-68,44,4,1
2025-04-28T12:00:00,5.665622,30575.69,48477.95,31.05507,0.4855532,0.1213883,-0.2723506,-0.7625818,-68,44,4,1
